species,country_of_origin,altitude,region,harvest_year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration
Arabica,Ethiopia,2075.0,guji-hambela,2014-01-01,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,Green,0,"April 3rd, 2016"
Arabica,Ethiopia,2075.0,guji-hambela,2014-01-01,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,Green,1,"April 3rd, 2016"
Arabica,Guatemala,1855,Unknown,2010-01-01,Other,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,0,0.0,None,0,"May 31st, 2011"
Arabica,Ethiopia,2000.0,oromia,2014-01-01,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,Green,2,"March 25th, 2016"
Arabica,Ethiopia,2075.0,guji-hambela,2014-01-01,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,Green,2,"April 3rd, 2016"
Arabica,Brazil,1855,Unknown,2013-01-01,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,Bluish-Green,1,"September 3rd, 2014"
Arabica,Peru,1855,Unknown,2012-01-01,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,Bluish-Green,0,"September 17th, 2013"
Arabica,Ethiopia,1635.0,oromia,2010-01-01,Other,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,None,0,"September 2nd, 2011"
Arabica,Ethiopia,1635.0,oromiya,2010-01-01,Other,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,None,0,"September 2nd, 2011"
Arabica,Ethiopia,1822.5,"snnp/kaffa zone,gimbowereda",2014-01-01,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,Green,4,"March 29th, 2016"
Arabica,Ethiopia,1905.0,oromia,2014-01-01,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,None,1,"March 26th, 2016"
Arabica,Colombia,1855,antioquia,2014-01-01,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.0,0,0.0,None,0,"March 12th, 2016"
Arabica,Colombia,1855,antioquia,2014-01-01,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.0,0,0.0,None,0,"March 12th, 2016"
Arabica,United States (Hawaii),1855,kona,2009-01-01,Other,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.0,0,0.0,None,2,"May 31st, 2011"
Arabica,Ethiopia,1635.0,oromiya,2010-01-01,Other,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,None,2,"August 31st, 2011"
Arabica,Colombia,1855,antioquia,2014-01-01,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0.0,0,0.0,None,0,"March 12th, 2016"
Arabica,Indonesia,1855,sulawesi,2010-01-01,Other,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0.0,None,0,"May 31st, 2011"
